,TOTAL BC,in pure BC,in MBS
"BURDEN, Tg(C)",0.09 ± 0.00,0.07 ± 0.00,0.02 ± 0.00
"SOURCES, Tg/yr",6.89 ± 0.00,6.89 ± 0.00,1.79 ± 0.00
"Emissions, Tg/yr",6.89 ± 0.00,6.89 ± 0.00,
"Aging (source), Tg/yr",,,1.79 ± 0.00
"SINKS, Tg/yr",-6.89 ± 0.00,-6.89 ± 0.00,-1.80 ± 0.00
"Dry deposition, Tg/yr",-0.37 ± 0.00,-0.32 ± 0.00,-0.05 ± 0.00
"Impaction scavenging, Tg/yr",-5.50 ± 0.00,-4.78 ± 0.00,-0.72 ± 0.00
"Nucleation scavenging by stratiform clouds, Tg/yr",-1.00 ± 0.00,-0.00 ± 0.00,-1.00 ± 0.00
"Nucleation scavenging by convective clouds, Tg/yr",-0.03 ± 0.00,-0.00 ± 0.00,-0.03 ± 0.00
"Aging (sink), Tg/yr",,-1.79 ± 0.00,
"LIFETIME, days",4.89 ± 0.01,3.95 ± 0.01,3.62 ± 0.02
