,TOTAL SULFATE,in NUC,in AIT,in ACC,in MOS,in MBS
"BURDEN, Tg(SO4)",1.32 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.94 ± 0.00,0.31 ± 0.00,0.07 ± 0.00
"SOURCES, Tg/yr",536.21 ± 0.92,0.01 ± 0.00,0.10 ± 0.00,507.11 ± 0.90,26.06 ± 0.04,6.42 ± 0.03
"H2SO4 condensation, Tg/yr",11.94 ± 0.05,0.01 ± 0.00,0.09 ± 0.00,4.61 ± 0.02,3.93 ± 0.02,3.29 ± 0.02
"Binary nucleation, Tg/yr",0.00 ± 0.00,0.00 ± 0.00,,,,
"Cloud evaporation, Tg/yr",502.39 ± 0.90,,,502.39 ± 0.90,,
"Coagulation (source), Tg/yr",,,0.00 ± 0.00,0.00 ± 0.00,1.96 ± 0.01,1.41 ± 0.01
"Aging (source), Tg/yr",21.87 ± 0.03,,,,20.16 ± 0.03,1.71 ± 0.00
"Mode mass adjustment (source), Tg/yr",,,0.01 ± 0.00,0.10 ± 0.00,,
"SINKS, Tg/yr",-536.38 ± 0.92,-0.01 ± 0.00,-0.10 ± 0.00,-507.19 ± 0.90,-26.13 ± 0.05,-6.43 ± 0.03
"Dry deposition, Tg/yr",-5.22 ± 0.01,-0.00 ± 0.00,-0.00 ± 0.00,-4.33 ± 0.01,-0.68 ± 0.00,-0.20 ± 0.00
"Impaction scavenging, Tg/yr",-116.38 ± 0.07,-0.00 ± 0.00,-0.00 ± 0.00,-102.43 ± 0.06,-10.96 ± 0.02,-2.99 ± 0.01
"Nucleation scavenging by stratiform clouds, Tg/yr",-394.12 ± 0.85,-0.00 ± 0.00,-0.00 ± 0.00,-377.04 ± 0.83,-13.94 ± 0.03,-3.14 ± 0.02
"Nucleation scavenging by convective clouds, Tg/yr",-20.67 ± 0.05,-0.00 ± 0.00,-0.00 ± 0.00,-20.02 ± 0.05,-0.55 ± 0.00,-0.10 ± 0.00
"Coagulation (sink), Tg/yr",,-0.00 ± 0.00,-0.00 ± 0.00,-3.38 ± 0.02,,
"Mode mass adjustment (sink), Tg/yr",,-0.01 ± 0.00,-0.10 ± 0.00,,,
"LIFETIME, days",0.90 ± 0.00,0.12 ± 0.00,0.10 ± 0.00,0.68 ± 0.00,4.37 ± 0.02,3.96 ± 0.04
