,Sulfate aerosol,in NUC,in AIT,in ACC,in MOS,in MBS
"Sources, Tg(SO4)/yr",+536.21 ± 0.92,+0.01 ± 0.00,+0.10 ± 0.00,+507.11 ± 0.90,+26.06 ± 0.04,+6.42 ± 0.03
    Binary nucleation,+0.00 ± 0.00,+0.00 ± 0.00,,,,
    Condensation,+11.94 ± 0.05,+0.01 ± 0.00,+0.09 ± 0.00,+4.61 ± 0.02,+3.93 ± 0.02,+3.29 ± 0.02
    Aging (source),+21.87 ± 0.03,,,,+20.16 ± 0.03,+1.71 ± 0.00
    Growth (source),,,+0.01 ± 0.00,+0.10 ± 0.00,,
    Coagulation (source),,,+0.00 ± 0.00,+0.00 ± 0.00,+1.96 ± 0.01,+1.41 ± 0.01
    Hydrometeor evaporation,+502.39 ± 0.90,,,+502.39 ± 0.90,,
"Sinks, Tg(SO4)/yr",-536.38 ± 0.92,-0.01 ± 0.00,-0.10 ± 0.00,-507.19 ± 0.90,-26.13 ± 0.05,-6.43 ± 0.03
    Growth (sink),,-0.01 ± 0.00,-0.10 ± 0.00,,,
    Coagulation (sink),,-0.00 ± 0.00,-0.00 ± 0.00,-3.38 ± 0.02,,
    Nucleation scavenging by stratiform clouds,-394.12 ± 0.85,-0.00 ± 0.00,-0.00 ± 0.00,-377.04 ± 0.83,-13.94 ± 0.03,-3.14 ± 0.02
    Nucleation scavenging by convective clouds,-20.67 ± 0.05,-0.00 ± 0.00,-0.00 ± 0.00,-20.02 ± 0.05,-0.55 ± 0.00,-0.10 ± 0.00
    Impaction scavenging,-116.38 ± 0.07,-0.00 ± 0.00,-0.00 ± 0.00,-102.43 ± 0.06,-10.96 ± 0.02,-2.99 ± 0.01
    Dry deposition,-5.22 ± 0.01,-0.00 ± 0.00,-0.00 ± 0.00,-4.33 ± 0.01,-0.68 ± 0.00,-0.20 ± 0.00
"Burden, Tg(SO4)",+1.32 ± 0.00,+0.00 ± 0.00,+0.00 ± 0.00,+0.94 ± 0.00,+0.31 ± 0.00,+0.07 ± 0.00
"Lifetime, days",+0.90 ± 0.00,+0.12 ± 0.00,+0.10 ± 0.00,+0.68 ± 0.00,+4.37 ± 0.02,+3.96 ± 0.04
