,Organic carbon aerosol,in pure OC,in MOS
"Sources, Tg/yr",+108.88 ± 0.00,+108.88 ± 0.00,+23.81 ± 0.02
    Emission,+108.88 ± 0.00,+108.88 ± 0.00,
    Aging (source),,,+21.60 ± 0.02
    Coagulation (source),,,+2.22 ± 0.01
"Sinks, Tg/yr",-108.82 ± 0.01,-108.75 ± 0.01,-23.88 ± 0.02
    Aging (sink),,-21.60 ± 0.02,
    Coagulation (sink),,-2.22 ± 0.01,
    Nucleation scavenging by stratiform clouds,-13.14 ± 0.01,-0.00 ± 0.00,-13.14 ± 0.01
    Nucleation scavenging by convective clouds,-0.51 ± 0.00,-0.00 ± 0.00,-0.51 ± 0.00
    Impaction scavenging,-90.65 ± 0.02,-81.03 ± 0.02,-9.63 ± 0.02
    Dry deposition,-4.51 ± 0.00,-3.91 ± 0.00,-0.60 ± 0.00
"Burden, Tg",+1.49 ± 0.00,+1.20 ± 0.00,+0.29 ± 0.00
"Lifetime, days",+5.01 ± 0.01,+4.03 ± 0.01,+4.46 ± 0.02
