,Black carbon aerosol,in pure BC,in MBS
"Sources, Tg/yr",+6.89 ± 0.00,+6.89 ± 0.00,+1.79 ± 0.00
Emission,+6.89 ± 0.00,+6.89 ± 0.00,
Aging (source),,,+1.79 ± 0.00
"Sinks, Tg/yr",-6.89 ± 0.00,-6.89 ± 0.00,-1.80 ± 0.00
Aging (sink),,-1.79 ± 0.00,
Nucleation scavenging by stratiform clouds,-1.00 ± 0.00,-0.00 ± 0.00,-1.00 ± 0.00
Nucleation scavenging by convective clouds,-0.03 ± 0.00,-0.00 ± 0.00,-0.03 ± 0.00
Impaction scavenging,-5.50 ± 0.00,-4.78 ± 0.00,-0.72 ± 0.00
Dry deposition,-0.37 ± 0.00,-0.32 ± 0.00,-0.05 ± 0.00
"Burden, Tg",+0.09 ± 0.00,+0.07 ± 0.00,+0.02 ± 0.00
"Lifetime, days",+4.89 ± 0.01,+3.95 ± 0.01,+3.62 ± 0.02
