,Sulfate aerosol,in NUC,in AIT,in ACC,in MOS,in MBS
"Sources, Tg(SO4)/yr",+210.87 ± 0.26,+0.01 ± 0.00,+0.08 ± 0.00,+204.45 ± 0.26,+6.19 ± 0.01,+0.50 ± 0.01
Binary nucleation,+0.00 ± 0.00,+0.00 ± 0.00,,,,
Condensation,+4.72 ± 0.02,+0.01 ± 0.00,+0.07 ± 0.00,+3.36 ± 0.01,+0.98 ± 0.01,+0.29 ± 0.00
Aging (source),+5.13 ± 0.01,,,,+5.00 ± 0.01,+0.13 ± 0.00
Growth (source),,,+0.01 ± 0.00,+0.08 ± 0.00,,
Coagulation (source),,,+0.00 ± 0.00,+0.00 ± 0.00,+0.20 ± 0.00,+0.08 ± 0.00
Hydrometeor evaporation,+201.01 ± 0.26,,,+201.01 ± 0.26,,
"Sinks, Tg(SO4)/yr",-210.96 ± 0.26,-0.01 ± 0.00,-0.08 ± 0.00,-204.52 ± 0.26,-6.21 ± 0.01,-0.50 ± 0.01
Growth (sink),,-0.01 ± 0.00,-0.08 ± 0.00,,,
Coagulation (sink),,-0.00 ± 0.00,-0.00 ± 0.00,-0.28 ± 0.00,,
Nucleation scavenging by stratiform clouds,-149.33 ± 0.23,-0.00 ± 0.00,-0.00 ± 0.00,-145.91 ± 0.22,-3.21 ± 0.01,-0.21 ± 0.00
Nucleation scavenging by convective clouds,-10.58 ± 0.03,-0.00 ± 0.00,-0.00 ± 0.00,-10.33 ± 0.03,-0.23 ± 0.00,-0.01 ± 0.00
Impaction scavenging,-49.01 ± 0.02,-0.00 ± 0.00,-0.00 ± 0.00,-46.11 ± 0.02,-2.65 ± 0.01,-0.26 ± 0.00
Dry deposition,-2.04 ± 0.00,-0.00 ± 0.00,-0.00 ± 0.00,-1.90 ± 0.00,-0.12 ± 0.00,-0.02 ± 0.00
"Burden, Tg(SO4)",+0.52 ± 0.00,+0.00 ± 0.00,+0.00 ± 0.00,+0.40 ± 0.00,+0.11 ± 0.00,+0.01 ± 0.00
"Lifetime, days",+0.90 ± 0.00,+0.18 ± 0.00,+0.10 ± 0.00,+0.72 ± 0.00,+6.26 ± 0.04,+5.83 ± 0.14
