,Black carbon aerosol,in pure BC,in MBS
"Sources, Tg/yr",2.33 ± 0.00,2.33 ± 0.00,0.14 ± 0.00
Emission,2.33 ± 0.00,2.33 ± 0.00,
Aging (source),,,0.14 ± 0.00
"Sinks, Tg/yr",-2.33 ± 0.00,-2.33 ± 0.00,-0.14 ± 0.00
Aging (sink),,-0.14 ± 0.00,
Nucleation scavenging by stratiform clouds,-0.07 ± 0.00,-0.00 ± 0.00,-0.07 ± 0.00
Nucleation scavenging by convective clouds,-0.00 ± 0.00,0.00 ± 0.00,-0.00 ± 0.00
Impaction scavenging,-2.11 ± 0.00,-2.05 ± 0.00,-0.06 ± 0.00
Dry deposition,-0.14 ± 0.00,-0.14 ± 0.00,-0.00 ± 0.00
"Burden, Tg",0.04 ± 0.00,0.03 ± 0.00,0.00 ± 0.00
"Lifetime, days",5.67 ± 0.01,5.42 ± 0.01,4.25 ± 0.03
